GrLivArea,BedroomAbvGr,SalePrice,TotalBath
1314,3,145000,1.0
1571,3,178000,2.5
796,2,85000,1.0
1768,3,175000,1.5
1691,3,127000,2.0
894,3,149900,1.0
1560,3,174000,2.5
1154,3,125500,1.0
1422,3,175500,2.0
1496,3,225000,2.0
913,3,129000,1.0
1086,3,159950,1.0
1601,3,157000,2.0
1986,3,205000,2.5
1164,3,140000,1.5
2267,4,200000,2.5
2259,3,217000,2.0
825,2,125000,1.0
1426,3,159500,1.5
1651,3,184000,2.0
789,2,96500,1.0
2634,6,200000,3.0
1576,3,149000,1.0
1484,3,178900,2.5
1200,2,184900,2.0
1250,2,164700,2.5
1902,3,335000,2.0
1040,2,87500,2.0
1502,3,233170,2.0
1228,3,149350,1.5
1268,3,133000,1.0
864,2,98000,1.0
1686,3,207500,2.0
1620,3,150000,2.0
858,2,134900,1.0
1301,2,187750,2.0
1505,2,149500,1.0
864,3,116050,1.0
1224,2,153337,1.0
1383,3,165000,1.0
816,3,130500,1.0
1344,2,206300,2.0
1392,2,146000,2.0
1065,3,126500,1.5
1250,3,139000,2.0
1452,2,113000,2.0
1096,2,79000,1.0
1428,3,182000,2.0
1658,3,188000,2.5
864,3,129000,1.0
1928,5,160000,2.0
1537,3,174000,1.5
1863,4,219210,2.5
2007,3,310000,2.5
1792,2,374000,2.0
968,2,100000,1.0
2654,4,250000,2.5
960,0,145000,0.0
2775,3,325000,3.5
2643,3,380000,2.5
1646,2,275000,2.0
1298,3,180000,2.0
1694,3,245350,2.0
958,2,151500,1.0
999,3,134500,1.0
1020,2,94000,1.0
1674,3,216000,2.5
2113,2,350000,2.5
2030,4,195000,2.5
1217,3,120000,1.5
2169,3,228500,2.5
1850,3,248000,2.5
1144,3,124000,1.5
1504,2,191000,2.0
1309,3,181000,1.5
1258,2,105000,1.0
1422,3,139900,1.0
1442,4,157900,1.5
1200,3,130500,1.0
1664,3,172400,2.5
1360,3,130000,1.0
1414,3,178000,2.5
1342,3,161500,2.0
1118,3,119900,1.0
2345,4,239000,2.5
1844,3,190000,2.0
987,2,85400,1.5
1610,3,205000,2.0
1080,3,134000,1.5
1622,3,168000,1.0
1511,3,185000,2.5
1152,3,180500,1.0
1558,4,152000,1.5
1911,3,215000,2.5
1306,2,153000,1.0
2138,2,106000,2.0
2466,4,340000,3.0
1734,3,159000,1.5
1158,3,120000,1.0
1771,3,115000,1.0
958,2,128000,2.0
1828,3,314813,2.0
1716,3,131000,1.5
2713,3,446261,2.5
1367,3,127500,1.0
1826,4,155000,1.5
1200,3,177500,2.0
1382,2,128500,1.5
1456,3,176000,2.5
2448,4,402000,2.5
1964,4,130000,1.5
1092,3,145000,1.0
1113,3,147000,1.0
864,3,115000,1.0
1804,3,189000,2.5
1632,4,143000,2.0
2614,4,240000,2.5
1314,2,230000,2.0
1923,3,190000,2.5
1484,3,213000,2.0
708,2,82500,1.0
1713,3,274900,2.0
1269,3,155000,1.5
2097,1,423000,1.5
864,3,128500,1.0
2184,3,335000,2.5
1624,2,262000,2.0
1040,3,129500,1.0
2035,3,222500,2.5
1494,2,270000,1.5
1314,2,207500,2.0
1743,3,175000,2.0
2127,4,238000,2.5
1716,6,135900,2.0
1358,2,224000,2.0
1430,3,170000,2.5
1221,2,185000,2.0
2094,4,263000,2.5
864,3,62383,1.0
1053,3,150000,1.5
1701,3,171000,2.0
1056,3,139000,1.0
1163,3,126175,1.0
1665,3,205950,2.5
1196,3,110000,1.0
3140,4,485000,3.5
1682,3,174000,2.0
1072,2,145000,1.0
1547,3,215200,2.5
1905,3,320000,2.0
1661,3,212000,2.5
1350,3,168500,1.5
1845,3,189000,2.5
1601,3,140000,1.0
1498,3,187500,2.5
1947,3,254900,2.5
1098,3,135000,1.0
1054,3,151000,1.5
928,3,112500,1.0
1820,4,184000,2.0
3082,5,197000,2.5
1788,5,161500,1.0
1022,2,85000,1.0
1274,3,203000,2.0
2504,4,325000,2.5
2153,3,313000,2.5
2031,3,237000,2.5
1824,3,180500,1.0
1008,2,137000,1.0
694,2,90350,1.0
1728,4,150900,2.0
1588,3,214000,2.0
1392,3,121500,1.5
4476,4,745000,3.5
1969,3,190000,2.5
1504,1,181000,2.0
1276,3,60000,1.0
1800,2,239000,2.0
816,3,118500,1.0
1040,2,109500,1.0
924,3,110000,1.0
832,2,105500,1.0
1886,4,199900,2.5
2196,3,271900,2.0
1039,3,131500,1.5
1271,4,135000,2.0
1367,4,119000,1.0
2093,3,215000,2.5
864,3,133500,1.0
2447,4,169000,2.0
1054,3,137500,1.0
1120,3,147000,1.0
1616,3,232000,2.0
1073,3,156000,1.5
1389,2,170000,1.0
861,1,82500,1.0
1135,3,155000,1.0
2828,4,424870,3.0
1616,2,236500,2.0
1437,3,218000,2.0
1630,3,213000,2.0
1800,3,312500,2.0
1855,3,187000,2.5
1675,3,181000,2.5
2084,4,233000,2.5
1111,3,95000,1.0
729,2,52000,1.0
1586,3,181000,2.0
2234,1,501837,2.0
858,3,88000,1.0
833,3,112000,1.0
1283,3,140000,1.0
1644,3,167000,1.0
1383,3,145250,1.5
2073,3,210000,2.0
1539,3,157500,2.0
1552,3,212900,2.0
925,2,117500,1.0
1414,3,185500,2.0
1526,2,85000,1.0
1712,4,145000,2.0
1717,3,255500,2.0
1750,3,124000,1.0
1176,2,134900,1.0
1936,3,230500,2.5
858,2,110000,1.0
1919,3,233230,2.5
1762,4,157000,1.5
1728,6,142600,2.0
1626,2,154000,2.5
1496,3,179665,2.5
790,2,91000,1.0
1935,3,197900,2.5
1964,4,205000,2.5
1666,3,161000,1.0
985,3,149900,2.0
1358,2,207000,2.0
